Xacc:-0.58410645	 yacc: 0.09643555	zacc: 4.77416992	 | xgy: -0.61309814	 ygy: 0.14953613	 zgy: 2.13088989
        Xacc:-0.57067871	 yacc: 0.07324219	zacc: 4.72778320	 | xgy: -1.01684570	 ygy: 1.07666016	 zgy: 1.90658569
        Xacc:-0.63232422	 yacc: 0.07751465	zacc: 4.81628418	 | xgy: -2.78137207	 ygy: 1.73461914	 zgy: 1.18881226
        Xacc:-0.64025879	 yacc: 0.06347656	zacc: 4.93408203	 | xgy: -2.07855225	 ygy: 0.16448975	 zgy: 1.47293091
        Xacc:-0.64453125	 yacc: 0.03784180	zacc: 4.76684570	 | xgy: 0.08224487	 ygy: -0.46356201	 zgy: 1.84677124
        Xacc:-0.64147949	 yacc: 0.05126953	zacc: 4.79370117	 | xgy: -1.53274536	 ygy: 1.71218872	 zgy: 0.82244873
        Xacc:-0.59387207	 yacc: 0.09155273	zacc: 4.90051270	 | xgy: -2.19818115	 ygy: 0.87478638	 zgy: 0.97198486
        Xacc:-0.63720703	 yacc: 0.01892090	zacc: 4.70642090	 | xgy: -0.65048218	 ygy: -1.76452637	 zgy: 2.19070435
        Xacc:-0.58776855	 yacc: 0.07812500	zacc: 4.67834473	 | xgy: -1.45797729	 ygy: -0.05233765	 zgy: 0.89721680
        Xacc:-0.62744141	 yacc: 0.01525879	zacc: 4.82543945	 | xgy: -1.54769897	 ygy: 0.77011108	 zgy: 1.00189209
        Xacc:-0.56884766	 yacc: 0.06713867	zacc: 4.75097656	 | xgy: -0.68786621	 ygy: 0.18692017	 zgy: 0.78506470
        Xacc:-0.57434082	 yacc: 0.01586914	zacc: 4.71557617	 | xgy: -1.04675293	 ygy: 0.51589966	 zgy: 0.37384033
        Xacc:-0.58105469	 yacc: 0.13732910	zacc: 4.77355957	 | xgy: -2.84118652	 ygy: 1.84677124	 zgy: -0.55328369
        Xacc:-0.64575195	 yacc: 0.03295898	zacc: 4.90356445	 | xgy: -1.60003662	 ygy: 1.46545410	 zgy: 0.71029663
        Xacc:-0.62988281	 yacc: 0.04760742	zacc: 4.78759766	 | xgy: -1.00189209	 ygy: 0.53085327	 zgy: 0.20935059
        Xacc:-0.63842773	 yacc: 0.10742188	zacc: 4.90112305	 | xgy: -1.60003662	 ygy: 1.26358032	 zgy: 0.20935059
        Xacc:-0.63476562	 yacc: 0.12817383	zacc: 4.86572266	 | xgy: -1.50283813	 ygy: -0.03738403	 zgy: 0.53833008
        Xacc:-0.62194824	 yacc: 0.07751465	zacc: 4.86999512	 | xgy: 0.94955444	 ygy: -0.38879395	 zgy: 1.93649292
        Xacc:-0.57495117	 yacc: 0.01770020	zacc: 4.71252441	 | xgy: 0.92712402	 ygy: -0.88973999	 zgy: 1.78695679
        Xacc:-0.57250977	 yacc: 0.02624512	zacc: 4.75524902	 | xgy: -0.35888672	 ygy: 0.68786621	 zgy: 0.98693848
        Xacc:-0.50537109	 yacc: 0.06347656	zacc: 4.69055176	 | xgy: -0.14953613	 ygy: -0.33645630	 zgy: 0.90469360
        Xacc:-0.54016113	 yacc: 0.04455566	zacc: 4.59899902	 | xgy: -0.61309814	 ygy: 1.30844116	 zgy: 0.69534302
        Xacc:-0.61645508	 yacc: 0.08361816	zacc: 4.80529785	 | xgy: -2.34771729	 ygy: 3.58139038	 zgy: 0.08224487
        Xacc:-0.55725098	 yacc: 0.04394531	zacc: 4.80590820	 | xgy: 0.06729126	 ygy: 2.69912720	 zgy: 0.36636353
        Xacc:-0.58410645	 yacc: -0.03601074	zacc: 4.72290039	 | xgy: -1.98883057	 ygy: 4.06738281	 zgy: -0.06729126
        Xacc:-0.69091797	 yacc: 0.10070801	zacc: 5.00915527	 | xgy: -3.43933105	 ygy: 3.25988770	 zgy: -0.58319092
        Xacc:-0.62988281	 yacc: 0.07995605	zacc: 4.93103027	 | xgy: 0.29907227	 ygy: 1.52526855	 zgy: 0.91964722
        Xacc:-0.64758301	 yacc: 0.05493164	zacc: 4.88769531	 | xgy: -0.45608521	 ygy: 1.31591797	 zgy: 0.50842285
        Xacc:-0.64453125	 yacc: 0.12756348	zacc: 5.06958008	 | xgy: -2.42996216	 ygy: 0.62057495	 zgy: 1.03179932
        Xacc:-0.58837891	 yacc: 0.08605957	zacc: 4.79248047	 | xgy: 0.65795898	 ygy: -2.50473022	 zgy: 2.31033325
        Xacc:-0.57922363	 yacc: 0.10375977	zacc: 4.67041016	 | xgy: -1.08413696	 ygy: -0.45608521	 zgy: 1.96640015
        Xacc:-0.63110352	 yacc: 0.08605957	zacc: 4.92797852	 | xgy: -1.21871948	 ygy: 0.36636353	 zgy: 1.40563965
        Xacc:-0.57189941	 yacc: 0.03906250	zacc: 4.77233887	 | xgy: -1.62246704	 ygy: -0.59814453	 zgy: 1.87667847
        Xacc:-0.54992676	 yacc: 0.02136230	zacc: 4.70153809	 | xgy: -1.54769897	 ygy: 1.21124268	 zgy: 1.06918335
        Xacc:-0.58288574	 yacc: 0.04150391	zacc: 4.77661133	 | xgy: -1.61499023	 ygy: 2.10098267	 zgy: 0.80001831
        Xacc:-0.57739258	 yacc: 0.02929688	zacc: 4.73144531	 | xgy: -1.40563965	 ygy: 2.08602905	 zgy: 0.70281982
        Xacc:-0.60363770	 yacc: 0.00976562	zacc: 4.80041504	 | xgy: -1.65985107	 ygy: 3.12530518	 zgy: 0.74768066
        Xacc:-0.67810059	 yacc: 0.02441406	zacc: 4.82543945	 | xgy: -0.16448975	 ygy: 1.51031494	 zgy: 0.41122437
        Xacc:-0.63354492	 yacc: 0.03784180	zacc: 4.77905273	 | xgy: 0.47851562	 ygy: -0.00747681	 zgy: 0.87478638
        Xacc:-0.57250977	 yacc: 0.04089355	zacc: 4.67285156	 | xgy: -0.06729126	 ygy: 0.52337646	 zgy: 0.79254150
        Xacc:-0.61096191	 yacc: 0.08728027	zacc: 4.82238770	 | xgy: -0.62805176	 ygy: 3.13278198	 zgy: 0.26168823
        Xacc:-0.58593750	 yacc: 0.05554199	zacc: 4.96032715	 | xgy: 2.16079712	 ygy: 1.29348755	 zgy: 1.83181763
        Xacc:-0.61828613	 yacc: -0.05004883	zacc: 4.91271973	 | xgy: 1.85424805	 ygy: -0.49346924	 zgy: 3.15521240
        Xacc:-0.61706543	 yacc: -0.04821777	zacc: 4.91027832	 | xgy: 0.50094604	 ygy: 0.43365479	 zgy: 1.29348755
        Xacc:-0.58776855	 yacc: 0.04699707	zacc: 4.84191895	 | xgy: 0.62805176	 ygy: 0.14953613	 zgy: 0.56823730
        Xacc:-0.65063477	 yacc: 0.05004883	zacc: 4.79675293	 | xgy: -0.01495361	 ygy: 1.95892334	 zgy: 0.41122437
        Xacc:-0.66040039	 yacc: 0.12878418	zacc: 4.87792969	 | xgy: 0.56823730	 ygy: 2.09350586	 zgy: 0.17944336
        Xacc:-0.63842773	 yacc: 0.04272461	zacc: 4.77539062	 | xgy: 0.59066772	 ygy: -0.33645630	 zgy: 1.30844116
        Xacc:-0.62683105	 yacc: 0.09643555	zacc: 4.69360352	 | xgy: -2.03369141	 ygy: 0.95703125	 zgy: -0.77011108
        Xacc:-0.60791016	 yacc: 0.10559082	zacc: 4.75097656	 | xgy: -2.40753174	 ygy: 1.86172485	 zgy: -0.04486084
        Xacc:-0.60974121	 yacc: 0.05859375	zacc: 4.60144043	 | xgy: -0.97198486	 ygy: 2.02621460	 zgy: 0.59066772
        Xacc:-0.64941406	 yacc: 0.01464844	zacc: 4.75830078	 | xgy: -2.86361694	 ygy: 3.49914551	 zgy: -0.04486084
        Xacc:-0.69274902	 yacc: 0.01953125	zacc: 5.02746582	 | xgy: -3.40194702	 ygy: 2.24304199	 zgy: -0.17944336
        Xacc:-0.64514160	 yacc: 0.03723145	zacc: 5.03723145	 | xgy: -0.64300537	 ygy: 1.50283813	 zgy: 0.99441528
        Xacc:-0.68054199	 yacc: 0.01831055	zacc: 5.03601074	 | xgy: 0.35140991	 ygy: -1.21871948	 zgy: 1.52526855
        Xacc:-0.61462402	 yacc: 0.07568359	zacc: 4.93408203	 | xgy: 0.41870117	 ygy: -2.32528687	 zgy: 1.33834839
        Xacc:-0.56823730	 yacc: 0.09765625	zacc: 4.78210449	 | xgy: 1.15890503	 ygy: -2.03369141	 zgy: 1.83929443
        Xacc:-0.59753418	 yacc: 0.10681152	zacc: 4.84741211	 | xgy: 0.38879395	 ygy: 0.11962891	 zgy: 1.48040771
        Xacc:-0.58593750	 yacc: 0.12756348	zacc: 4.84741211	 | xgy: -0.35888672	 ygy: 0.44860840	 zgy: 1.23367310
        Xacc:-0.54504395	 yacc: 0.06469727	zacc: 4.75158691	 | xgy: 1.15890503	 ygy: -0.01495361	 zgy: 1.95892334
        Xacc:-0.65124512	 yacc: 0.11962891	zacc: 4.76257324	 | xgy: -2.69912720	 ygy: 1.59255981	 zgy: 1.01684570
        Xacc:-0.66406250	 yacc: 0.13488770	zacc: 4.81201172	 | xgy: -2.12341309	 ygy: 0.85235596	 zgy: 1.30096436
        Xacc:-0.62255859	 yacc: 0.08361816	zacc: 4.71435547	 | xgy: -1.36825562	 ygy: 0.68038940	 zgy: 2.20565796
        Xacc:-0.65856934	 yacc: 0.02014160	zacc: 4.80285645	 | xgy: -2.79632568	 ygy: 1.69723511	 zgy: 1.60751343
        Xacc:-0.63537598	 yacc: 0.03601074	zacc: 4.89929199	 | xgy: -2.75894165	 ygy: 1.62994385	 zgy: 1.17385864
        Xacc:-0.61645508	 yacc: 0.01708984	zacc: 4.82360840	 | xgy: -0.45608521	 ygy: 0.69534302	 zgy: 2.03369141
        Xacc:-0.60241699	 yacc: -0.02746582	zacc: 4.72167969	 | xgy: -0.97946167	 ygy: 1.17385864	 zgy: 1.82434082
        Xacc:-0.59753418	 yacc: -0.03479004	zacc: 4.74365234	 | xgy: -0.41122437	 ygy: 1.07666016	 zgy: 1.64489746
        Xacc:-0.58959961	 yacc: -0.06591797	zacc: 4.73022461	 | xgy: 0.59066772	 ygy: 1.62246704	 zgy: 1.63742065
        Xacc:-0.63171387	 yacc: -0.04821777	zacc: 4.81201172	 | xgy: -1.15142822	 ygy: 2.66174316	 zgy: 0.05981445
        Xacc:-0.60363770	 yacc: 0.06408691	zacc: 4.84130859	 | xgy: -1.71218872	 ygy: 2.19818115	 zgy: -0.41122437
        Xacc:-0.59692383	 yacc: 0.07202148	zacc: 4.70397949	 | xgy: -2.04116821	 ygy: 1.69723511	 zgy: 0.50842285
        Xacc:-0.65734863	 yacc: 0.04333496	zacc: 4.82604980	 | xgy: -2.87857056	 ygy: 2.30285645	 zgy: 0.25421143
        Xacc:-0.63171387	 yacc: 0.10925293	zacc: 4.91516113	 | xgy: -1.98883057	 ygy: 0.71029663	 zgy: 0.14953613
        Xacc:-0.64331055	 yacc: 0.05187988	zacc: 4.81567383	 | xgy: -1.95892334	 ygy: 1.10656738	 zgy: 0.56823730
        Xacc:-0.62744141	 yacc: 0.04333496	zacc: 4.91271973	 | xgy: -0.98693848	 ygy: 1.75704956	 zgy: 1.14395142
        Xacc:-0.64575195	 yacc: -0.01098633	zacc: 4.82299805	 | xgy: 0.28411865	 ygy: 0.06729126	 zgy: 2.37762451
        Xacc:-0.64392090	 yacc: -0.00366211	zacc: 4.80468750	 | xgy: -1.42059326	 ygy: 0.21682739	 zgy: 1.77200317
        Xacc:-0.62377930	 yacc: -0.02319336	zacc: 4.78942871	 | xgy: -1.09909058	 ygy: 1.15142822	 zgy: 0.71029663
        Xacc:-0.58837891	 yacc: -0.03051758	zacc: 4.80163574	 | xgy: -1.45797729	 ygy: 1.60003662	 zgy: 0.41122437
        Xacc:-0.67321777	 yacc: 0.00427246	zacc: 4.81811523	 | xgy: -0.97946167	 ygy: 2.22808838	 zgy: 0.33645630
        Xacc:-0.64941406	 yacc: 0.02075195	zacc: 4.87182617	 | xgy: -0.00747681	 ygy: 0.93460083	 zgy: 0.17196655
        Xacc:-0.60485840	 yacc: 0.03540039	zacc: 4.65576172	 | xgy: 0.40374756	 ygy: -0.56076050	 zgy: 1.05422974
        Xacc:-0.61157227	 yacc: 0.04455566	zacc: 4.66613770	 | xgy: 0.60562134	 ygy: 0.87478638	 zgy: 1.23367310
        Xacc:-0.54077148	 yacc: 0.00671387	zacc: 4.76928711	 | xgy: 0.20187378	 ygy: 0.88973999	 zgy: 1.09161377
        Xacc:-0.55480957	 yacc: 0.01403809	zacc: 4.65576172	 | xgy: -0.97946167	 ygy: 0.08224487	 zgy: 0.97946167
        Xacc:-0.60546875	 yacc: 0.05432129	zacc: 4.88891602	 | xgy: -3.43185425	 ygy: 2.95333862	 zgy: 0.04486084
        Xacc:-0.62988281	 yacc: 0.04699707	zacc: 4.95666504	 | xgy: -0.74020386	 ygy: 1.89163208	 zgy: 1.47293091
        Xacc:-0.62194824	 yacc: -0.01342773	zacc: 4.78088379	 | xgy: -0.37384033	 ygy: 1.53274536	 zgy: 1.05422974
        Xacc:-0.72082520	 yacc: -0.01159668	zacc: 4.93957520	 | xgy: -2.38510132	 ygy: 2.72155762	 zgy: 0.53085327
        Xacc:-0.65307617	 yacc: -0.02319336	zacc: 4.87487793	 | xgy: -0.43365479	 ygy: 0.82992554	 zgy: 0.87478638
        Xacc:-0.69030762	 yacc: 0.00610352	zacc: 4.90295410	 | xgy: -0.38131714	 ygy: 0.53085327	 zgy: 1.11404419
        Xacc:-0.64880371	 yacc: 0.02868652	zacc: 4.89440918	 | xgy: -1.30096436	 ygy: -0.54580688	 zgy: 0.80749512
        Xacc:-0.57800293	 yacc: -0.00854492	zacc: 4.80957031	 | xgy: -2.46734619	 ygy: -0.47103882	 zgy: 0.40374756
        Xacc:-0.60729980	 yacc: 0.04638672	zacc: 4.83825684	 | xgy: -4.41879272	 ygy: 0.25421143	 zgy: 0.19439697
        Xacc:-0.63049316	 yacc: -0.02197266	zacc: 4.87548828	 | xgy: -7.70858765	 ygy: -1.77200317	 zgy: -0.13458252
        Xacc:-0.63598633	 yacc: 0.00854492	zacc: 4.82788086	 | xgy: -16.52374268	 ygy: -3.97018433	 zgy: -2.90100098
        Xacc:-0.58593750	 yacc: -0.10070801	zacc: 4.73815918	 | xgy: -14.06387329	 ygy: -3.94027710	 zgy: -2.34024048
        Xacc:-0.55114746	 yacc: -0.14953613	zacc: 4.65820312	 | xgy: -14.76669312	 ygy: -3.43933105	 zgy: -2.38510132
        Xacc:-0.48950195	 yacc: -0.19592285	zacc: 4.78210449	 | xgy: -13.71994019	 ygy: -1.00189209	 zgy: -2.75146484
        
