Xacc:-0.27709961	 yacc: -0.26000977	zacc: 4.68505859	 | xgy: 4.01504517	 ygy: -4.57580566	 zgy: 0.15701294
        Xacc:-0.26672363	 yacc: -0.31921387	zacc: 4.84863281	 | xgy: 1.45050049	 ygy: -2.96829224	 zgy: -0.88226318
        Xacc:-0.24658203	 yacc: -0.50903320	zacc: 4.78149414	 | xgy: 5.25619507	 ygy: -4.39636230	 zgy: -2.08602905
        Xacc:-0.24658203	 yacc: -0.48217773	zacc: 4.65087891	 | xgy: 1.45050049	 ygy: -3.20755005	 zgy: -4.08981323
        Xacc:-0.19165039	 yacc: -0.26794434	zacc: 4.66918945	 | xgy: -2.41500854	 ygy: -1.50283813	 zgy: -5.18142700
        Xacc:-0.19592285	 yacc: -0.38818359	zacc: 4.69299316	 | xgy: 0.98693848	 ygy: -1.06918335	 zgy: -5.42816162
        Xacc:-0.23437500	 yacc: -0.30883789	zacc: 4.74182129	 | xgy: 0.95703125	 ygy: 0.68786621	 zgy: -7.73101807
        Xacc:-0.17883301	 yacc: -0.24597168	zacc: 4.82360840	 | xgy: 6.51229858	 ygy: 1.12152100	 zgy: -8.94973755
        Xacc:-0.20263672	 yacc: -0.09643555	zacc: 4.56115723	 | xgy: 5.74218750	 ygy: 0.19439697	 zgy: -8.76281738
        Xacc:-0.23376465	 yacc: -0.04394531	zacc: 4.45007324	 | xgy: 3.99261475	 ygy: -0.16448975	 zgy: -8.59085083
        Xacc:-0.28808594	 yacc: 0.02685547	zacc: 4.23034668	 | xgy: 11.02081299	 ygy: 0.51589966	 zgy: -9.00955200
        Xacc:-0.19226074	 yacc: 0.00183105	zacc: 3.78112793	 | xgy: 20.86029053	 ygy: 1.18133545	 zgy: -5.59265137
        Xacc:-0.03173828	 yacc: -0.37719727	zacc: 2.85583496	 | xgy: 33.60076904	 ygy: 0.25421143	 zgy: -2.89352417
        Xacc:-0.13671875	 yacc: -0.35156250	zacc: 2.66357422	 | xgy: 25.89218140	 ygy: 8.45626831	 zgy: -4.34402466
        Xacc:-0.34362793	 yacc: 0.05859375	zacc: 3.52844238	 | xgy: 12.23953247	 ygy: 20.71075439	 zgy: -4.85244751
        Xacc:-0.39550781	 yacc: 0.11230469	zacc: 3.46862793	 | xgy: 26.43051147	 ygy: 15.93307495	 zgy: -2.71408081
        Xacc:-0.55114746	 yacc: 0.36315918	zacc: 3.35693359	 | xgy: 33.81759644	 ygy: 9.50302124	 zgy: 1.15142822
        Xacc:-0.52062988	 yacc: 0.70007324	zacc: 2.99499512	 | xgy: 39.02145386	 ygy: 7.67868042	 zgy: 1.32339478
        Xacc:-0.71289062	 yacc: 1.09497070	zacc: 3.00170898	 | xgy: 31.16333008	 ygy: 11.50680542	 zgy: 1.75704956
        Xacc:-0.58471680	 yacc: 1.28112793	zacc: 3.09631348	 | xgy: 34.16152954	 ygy: 9.55535889	 zgy: 5.59265137
        Xacc:-0.59143066	 yacc: 1.26831055	zacc: 2.45178223	 | xgy: 52.56195068	 ygy: -1.25610352	 zgy: 10.35537720
        Xacc:-0.88623047	 yacc: 1.59667969	zacc: 1.50634766	 | xgy: 52.72644043	 ygy: 1.41311646	 zgy: 11.62643433
        Xacc:-0.62438965	 yacc: 1.38244629	zacc: 1.02416992	 | xgy: 50.11703491	 ygy: 9.22637939	 zgy: 11.88064575
        Xacc:-0.44250488	 yacc: 1.57714844	zacc: 0.54626465	 | xgy: 41.85516357	 ygy: 40.77102661	 zgy: 7.11044312
        Xacc:-1.31958008	 yacc: 1.69921875	zacc: 2.65686035	 | xgy: -9.27871704	 ygy: 90.59646606	 zgy: 12.07504272
        Xacc:-1.69006348	 yacc: 1.33178711	zacc: 5.40710449	 | xgy: -18.49014282	 ygy: 96.15921021	 zgy: 14.04144287
        Xacc:-1.55700684	 yacc: 0.54748535	zacc: 6.11083984	 | xgy: 33.15216064	 ygy: 61.86309814	 zgy: 13.00216675
        Xacc:-1.61743164	 yacc: 0.33874512	zacc: 5.61706543	 | xgy: 18.54995728	 ygy: 47.26837158	 zgy: 0.94955444
        Xacc:-2.04772949	 yacc: 1.86950684	zacc: 6.40014648	 | xgy: -30.97640991	 ygy: 56.42745972	 zgy: -8.08990479
        Xacc:-1.98059082	 yacc: 2.04711914	zacc: 8.05786133	 | xgy: -14.25827026	 ygy: 47.90390015	 zgy: -1.62994385
        Xacc:-1.88964844	 yacc: 1.20178223	zacc: 8.42285156	 | xgy: 35.60455322	 ygy: 22.16125488	 zgy: -5.03936768
        Xacc:-1.76086426	 yacc: 1.64978027	zacc: 7.11425781	 | xgy: 15.64895630	 ygy: -6.44500732	 zgy: -11.67129517
        Xacc:-1.79382324	 yacc: 1.59118652	zacc: 7.75939941	 | xgy: -37.81021118	 ygy: 8.11233521	 zgy: -13.79470825
        Xacc:-1.59301758	 yacc: 1.63452148	zacc: 7.88391113	 | xgy: -49.10766602	 ygy: -1.57760620	 zgy: -16.09756470
        Xacc:-2.14721680	 yacc: 1.63208008	zacc: 6.95983887	 | xgy: -23.15567017	 ygy: -17.39852905	 zgy: -8.96469116
