Xacc:-0.70251465	 yacc: 0.30822754	zacc: 4.81567383	 | xgy: 1.72714233	 ygy: -4.95712280	 zgy: 1.50283813
        Xacc:-0.73425293	 yacc: 0.30822754	zacc: 4.78942871	 | xgy: 3.26736450	 ygy: -4.55337524	 zgy: 1.34582520
        Xacc:-0.70373535	 yacc: 0.36376953	zacc: 4.78637695	 | xgy: 3.34960938	 ygy: -2.86361694	 zgy: 0.32150269
        Xacc:-0.67993164	 yacc: 0.39306641	zacc: 4.85412598	 | xgy: 4.53842163	 ygy: -2.82623291	 zgy: 0.17944336
        Xacc:-0.65490723	 yacc: 0.42297363	zacc: 4.87182617	 | xgy: 2.24304199	 ygy: -3.48419189	 zgy: 1.16638184
        Xacc:-0.66650391	 yacc: 0.37963867	zacc: 4.66979980	 | xgy: 2.98324585	 ygy: -3.18511963	 zgy: 1.34582520
        Xacc:-0.64270020	 yacc: 0.42236328	zacc: 4.70642090	 | xgy: 1.32339478	 ygy: -1.44302368	 zgy: 0.47103882
        Xacc:-0.66528320	 yacc: 0.52612305	zacc: 4.86389160	 | xgy: -3.21502686	 ygy: -0.49346924	 zgy: 1.11404419
        Xacc:-0.64636230	 yacc: 0.42785645	zacc: 4.80468750	 | xgy: 0.73272705	 ygy: -2.53463745	 zgy: 3.30474854
        Xacc:-0.61462402	 yacc: 0.29113770	zacc: 4.63623047	 | xgy: 1.10656738	 ygy: -2.47482300	 zgy: 2.42996216
        Xacc:-0.61035156	 yacc: 0.36437988	zacc: 4.75524902	 | xgy: -2.75146484	 ygy: 0.59066772	 zgy: 0.06729126
        Xacc:-0.62988281	 yacc: 0.32531738	zacc: 4.83093262	 | xgy: -0.85983276	 ygy: 0.98693848	 zgy: 0.63552856
        Xacc:-0.62927246	 yacc: 0.36987305	zacc: 4.74975586	 | xgy: 0.48599243	 ygy: 0.49346924	 zgy: -0.58319092
        Xacc:-0.60913086	 yacc: 0.50781250	zacc: 4.79858398	 | xgy: -1.23367310	 ygy: 2.16079712	 zgy: -1.23367310
        Xacc:-0.61218262	 yacc: 0.40771484	zacc: 4.94262695	 | xgy: -1.16638184	 ygy: 1.14395142	 zgy: -0.23178101
        Xacc:-0.56274414	 yacc: 0.45593262	zacc: 4.68933105	 | xgy: 1.67480469	 ygy: -1.74957275	 zgy: -0.38879395
        Xacc:-0.53222656	 yacc: 0.59082031	zacc: 4.64111328	 | xgy: -0.26168823	 ygy: 0.20935059	 zgy: -0.73272705
        Xacc:-0.51025391	 yacc: 0.61462402	zacc: 4.60998535	 | xgy: 1.88415527	 ygy: -1.51031494	 zgy: 2.71408081
        Xacc:-0.53649902	 yacc: 0.54443359	zacc: 4.34997559	 | xgy: 4.55337524	 ygy: -1.93649292	 zgy: 4.49356079
        Xacc:-0.48217773	 yacc: 0.65124512	zacc: 4.20715332	 | xgy: 4.89730835	 ygy: -2.37762451	 zgy: 6.48239136
        Xacc:-0.51513672	 yacc: 0.71533203	zacc: 4.05212402	 | xgy: 10.52734375	 ygy: -5.44311523	 zgy: 12.30682373
        Xacc:-0.57739258	 yacc: 0.23010254	zacc: 3.59680176	 | xgy: 26.20620728	 ygy: -12.68066406	 zgy: 17.85461426
        Xacc:-0.71838379	 yacc: -0.00915527	zacc: 3.30566406	 | xgy: 36.11297607	 ygy: -18.63967896	 zgy: 21.58554077
        Xacc:-0.38391113	 yacc: -0.94848633	zacc: 2.48779297	 | xgy: 42.62527466	 ygy: -27.36511230	 zgy: 19.57427979
        Xacc:0.02990723	 yacc: -1.38305664	zacc: 0.08483887	 | xgy: 61.73599243	 ygy: -37.30926514	 zgy: -17.53311157
        Xacc:-0.26245117	 yacc: 0.30700684	zacc: -0.82885742	 | xgy: 5.59265137	 ygy: 23.21548462	 zgy: -22.20611572
        Xacc:-0.64453125	 yacc: 1.84387207	zacc: 1.68090820	 | xgy: -13.54797363	 ygy: 68.71932983	 zgy: -11.36474609
        Xacc:-0.97229004	 yacc: 2.12280273	zacc: 4.45251465	 | xgy: 3.41690063	 ygy: 51.38061523	 zgy: 15.22277832
        Xacc:-1.10290527	 yacc: 1.30798340	zacc: 3.44482422	 | xgy: 59.38079834	 ygy: 7.23007202	 zgy: 21.22665405
        Xacc:-0.86914062	 yacc: 1.28295898	zacc: 2.40417480	 | xgy: 75.29891968	 ygy: -9.45816040	 zgy: 14.22836304
        Xacc:-0.98876953	 yacc: 1.32812500	zacc: 2.25891113	 | xgy: 61.71356201	 ygy: 5.44311523	 zgy: 9.30862427
        Xacc:-0.74523926	 yacc: 1.79565430	zacc: 2.77343750	 | xgy: 46.28890991	 ygy: 20.17242432	 zgy: -8.88992310
        Xacc:-0.73486328	 yacc: 2.46032715	zacc: 3.20434570	 | xgy: 22.96875000	 ygy: 38.34106445	 zgy: -7.97775269
        Xacc:-1.17614746	 yacc: 2.73620605	zacc: 4.75097656	 | xgy: 9.30862427	 ygy: 45.11505127	 zgy: 7.72354126
        Xacc:-1.43676758	 yacc: 2.34802246	zacc: 6.55578613	 | xgy: 36.21765137	 ygy: 26.87911987	 zgy: 7.59643555
