Xacc,Yacc,Zacc
0.471929,0.104775,-1.120811
0.471929,0.104775,-1.120811
0.471929,0.104775,-1.120811
0.471929,0.104775,-1.120811
0.471929,0.104775,-1.120811
0.471929,0.104775,-1.120811
0.471929,0.104775,-0.688315
0.188359,-0.012534,-0.688315
0.188359,-0.012534,-0.688315
0.188359,-0.012534,-0.688315
0.188359,-0.012534,-0.688315
0.188359,-0.012534,-0.688315
0.188359,-0.012534,-0.688315
0.188359,-0.012534,-0.688315
0.188359,-0.012534,-0.688315
0.188359,-0.012534,-0.688315
0.188359,-0.012534,-0.688315
0.188359,-0.012534,-0.688315
0.188359,-0.012534,-0.688315
0.188359,-0.012534,-0.688315
0.188359,-0.012534,-0.688315
0.188359,-0.012534,-0.688315
0.188359,-0.012534,-0.407065
0.038457,0.032388,-0.386558
0.038457,0.032388,-0.386558
0.038457,0.032388,-0.386558
0.038457,0.032388,-0.386558
0.038457,0.032388,-0.386558
0.038457,0.032388,-0.386558
0.038457,0.032388,-0.386558
0.038457,0.032388,-0.386558
0.038457,0.032388,-0.386558
0.038457,0.032388,-0.386558
0.038457,0.032388,-0.386558
0.038457,0.032388,-0.386558
0.038457,0.032388,-0.386558
0.038457,0.032388,-0.386558
0.038457,0.032388,-0.386558
0.038457,0.032388,-0.386558
0.038457,0.032388,-0.123374
-0.045283,0.014565,-0.123374
-0.045283,0.014565,-0.123374
-0.045283,0.014565,-0.123374
-0.045283,0.014565,-0.123374
-0.045283,0.014565,-0.123374
-0.045283,0.014565,-0.123374
-0.045283,0.014565,-0.123374
-0.045283,0.014565,-0.123374
-0.045283,0.014565,-0.123374
-0.045283,0.014565,-0.123374
-0.045283,0.014565,-0.123374
-0.045283,0.014565,-0.123374
-0.045283,0.014565,-0.123374
-0.045283,0.014565,-0.123374
-0.045283,0.014565,-0.123374
-0.045283,0.014565,-0.123374
0.017217,-0.031211,-0.020713
0.014897,-0.031211,-0.020713
0.014897,-0.031211,-0.020713
0.014897,-0.031211,-0.020713
0.014897,-0.031211,-0.020713
0.014897,-0.031211,-0.020713
0.014897,-0.031211,-0.020713
0.014897,-0.031211,-0.020713
0.014897,-0.031211,-0.020713
0.014897,-0.031211,-0.020713
0.014897,-0.031211,-0.020713
0.014897,-0.031211,-0.020713
0.014897,-0.031211,-0.020713
0.014897,-0.031211,-0.020713
0.014897,-0.031211,-0.020713
0.014897,-0.031211,-0.020713
0.014897,-0.031211,0.068765
0.046880,-0.049766,0.068765
0.046880,-0.049766,0.068765
0.046880,-0.049766,0.068765
0.046880,-0.049766,0.068765
0.046880,-0.049766,0.068765
0.046880,-0.049766,0.068765
0.046880,-0.049766,0.068765
0.046880,-0.049766,0.068765
0.046880,-0.049766,0.068765
0.046880,-0.049766,0.068765
0.046880,-0.049766,0.068765
0.046880,-0.049766,0.068765
0.046880,-0.049766,0.068765
0.046880,-0.049766,0.068765
0.046880,-0.049766,0.068765
0.046880,-0.049766,0.068765
0.109380,-0.006187,0.094155
0.100103,-0.006187,0.094155
0.100103,-0.006187,0.094155
0.100103,-0.006187,0.094155
0.100103,-0.006187,0.094155
0.100103,-0.006187,0.094155
0.100103,-0.006187,0.094155
0.100103,-0.006187,0.094155
0.100103,-0.006187,0.094155
0.100103,-0.006187,0.094155
0.100103,-0.006187,0.094155
0.100103,-0.006187,0.094155
0.100103,-0.006187,0.094155
0.100103,-0.006187,0.094155
0.100103,-0.006187,0.094155
0.100103,-0.006187,0.094155
0.131353,0.118569,-0.004844
0.120244,0.118569,-0.004844
0.120244,0.118569,-0.004844
0.120244,0.118569,-0.004844
0.120244,0.118569,-0.004844
0.120244,0.118569,-0.004844
0.120244,0.118569,-0.004844
0.120244,0.118569,-0.004844
0.120244,0.118569,-0.004844
0.120244,0.118569,-0.004844
0.120244,0.118569,-0.004844
0.120244,0.118569,-0.004844
0.120244,0.118569,-0.004844
0.120244,0.118569,-0.004844
0.120244,0.118569,-0.004844
0.120244,0.118569,-0.004844
0.120244,0.118569,-0.032798
0.220464,0.236855,-0.032798
0.220464,0.236855,-0.032798
0.220464,0.236855,-0.032798
0.220464,0.236855,-0.032798
0.220464,0.236855,-0.032798
0.220464,0.236855,-0.032798
0.220464,0.236855,-0.032798
0.220464,0.236855,-0.032798
0.220464,0.236855,-0.032798
0.220464,0.236855,-0.032798
0.220464,0.236855,-0.032798
0.220464,0.236855,-0.032798
0.220464,0.236855,-0.032798
0.220464,0.236855,-0.032798
0.220464,0.236855,-0.032798
0.220464,0.236855,-0.032798
0.220464,0.152383,0.000283
0.262822,0.152383,0.000283
0.262822,0.152383,0.000283
0.262822,0.152383,0.000283
0.262822,0.152383,0.000283
0.262822,0.152383,0.000283
0.262822,0.152383,0.000283
0.262822,0.152383,0.000283
0.262822,0.152383,0.000283
0.262822,0.152383,0.000283
0.262822,0.152383,0.000283
0.262822,0.152383,0.000283
0.262822,0.152383,0.000283
0.262822,0.152383,0.000283
0.262822,0.152383,0.000283
0.262822,0.152383,0.000283
0.262822,0.152383,0.003945
0.201543,0.054604,0.003945
0.201543,0.054604,0.003945
0.201543,0.054604,0.003945
0.201543,0.054604,0.003945
0.201543,0.054604,0.003945
0.201543,0.054604,0.003945
0.201543,0.054604,0.003945
0.201543,0.054604,0.003945
0.201543,0.054604,0.003945
0.201543,0.054604,0.003945
0.201543,0.054604,0.003945
