Xacc,Yacc,Zacc
0.086919,-1.038779,0.963174
0.086919,-1.038779,0.963174
0.086919,-1.038779,0.963174
0.086919,-1.038779,0.963174
0.079839,-1.028892,0.966348
0.079839,-1.028892,0.966348
0.079839,-1.028892,0.966348
0.079839,-1.028892,0.966348
0.079839,-1.028892,0.966348
0.079839,-1.028892,0.966348
0.079839,-1.028892,0.966348
0.079839,-1.028892,0.966348
0.079839,-1.028892,0.966348
0.079839,-1.028892,0.966348
0.079839,-1.028892,0.966348
0.079839,-1.028892,0.966348
0.079839,-1.028892,0.966348
0.079839,-1.028892,0.966348
0.079839,-1.028892,0.966348
0.079839,-1.028892,0.966348
0.079839,-1.028892,0.966348
0.074346,-1.044761,0.964761
0.074346,-1.044761,0.964761
0.074346,-1.044761,0.964761
0.074346,-1.044761,0.964761
0.074346,-1.044761,0.964761
0.074346,-1.044761,0.964761
0.074346,-1.044761,0.964761
0.074346,-1.044761,0.964761
0.074346,-1.044761,0.964761
0.074346,-1.044761,0.964761
0.074346,-1.044761,0.964761
0.074346,-1.044761,0.964761
0.074346,-1.044761,0.964761
0.074346,-1.044761,0.964761
0.074346,-1.044761,0.964761
0.074346,-1.044761,0.964761
0.074346,-1.044761,0.961465
0.075078,-1.054282,0.961465
0.075078,-1.054282,0.961465
0.075078,-1.054282,0.961465
0.075078,-1.054282,0.961465
0.075078,-1.054282,0.961465
0.075078,-1.054282,0.961465
0.075078,-1.054282,0.961465
0.075078,-1.054282,0.961465
0.075078,-1.054282,0.961465
0.075078,-1.054282,0.961465
0.075078,-1.054282,0.961465
0.075078,-1.054282,0.961465
0.075078,-1.054282,0.961465
0.075078,-1.054282,0.961465
0.075078,-1.054282,0.961465
0.075078,-1.023032,0.965005
0.072637,-1.033896,0.965005
0.072637,-1.033896,0.965005
0.072637,-1.033896,0.965005
0.072637,-1.033896,0.965005
0.072637,-1.033896,0.965005
0.072637,-1.033896,0.965005
0.072637,-1.033896,0.965005
0.072637,-1.033896,0.965005
0.072637,-1.033896,0.965005
0.072637,-1.033896,0.965005
0.072637,-1.033896,0.965005
0.072637,-1.033896,0.965005
0.072637,-1.033896,0.965005
0.072637,-1.033896,0.965005
0.072637,-1.033896,0.965005
0.072637,-1.046836,0.964395
0.077520,-1.046836,0.964395
0.077520,-1.046836,0.964395
0.077520,-1.046836,0.964395
0.077520,-1.046836,0.964395
0.077520,-1.046836,0.964395
0.077520,-1.046836,0.964395
0.077520,-1.046836,0.964395
0.077520,-1.046836,0.964395
0.077520,-1.046836,0.964395
0.077520,-1.046836,0.964395
0.077520,-1.046836,0.964395
0.077520,-1.046836,0.964395
0.077520,-1.046836,0.964395
0.077520,-1.046836,0.964395
0.077520,-1.046836,0.964395
0.077520,-1.046836,0.959634
0.076177,-1.042197,0.959634
0.076177,-1.042197,0.959634
0.076177,-1.042197,0.959634
0.076177,-1.042197,0.959634
0.076177,-1.042197,0.959634
0.076177,-1.042197,0.959634
0.076177,-1.042197,0.959634
0.076177,-1.042197,0.959634
0.076177,-1.042197,0.959634
0.076177,-1.042197,0.959634
0.076177,-1.042197,0.959634
